Date,Sales
2023-01-02,2090.86
2023-01-09,2301.03
2023-01-16,2053.94
2023-01-23,2131.16
2023-01-30,2404.98
2023-02-06,2447.01
2023-02-13,2384.64
2023-02-20,2564.81
2023-02-27,2694.25
2023-03-06,2851.32
2023-03-13,2740.15
2023-03-20,2726.93
2023-03-27,2961.25
2023-04-03,3015.86
2023-04-10,3307.01
2023-04-17,3509.31
2023-04-24,3574.83
2023-05-01,3766.36
2023-05-08,3928.87
2023-05-15,4072.8
2023-05-22,3823.39
2023-05-29,4184.18
2023-06-05,4002.2
2023-06-12,4108.42
2023-06-19,3680.75
2023-06-26,3980.16
2023-07-03,4344.31
2023-07-10,3785.98
2023-07-17,3832.77
2023-07-24,3857.27
2023-07-31,3916.05
2023-08-07,3769.79
2023-08-14,4120.56
2023-08-21,3586.46
2023-08-28,3997.87
2023-09-04,3517.18
2023-09-11,3705.78
2023-09-18,3348.16
2023-09-25,3422.24
2023-10-02,2867.74
2023-10-09,3314.71
2023-10-16,2769.92
2023-10-23,2582.71
2023-10-30,2975.76
2023-11-06,2390.6
2023-11-13,2307.91
2023-11-20,2345.24
2023-11-27,4620.38
2023-12-04,4330.7
2023-12-11,3934.5
2023-12-18,4076.91
2023-12-25,3756.13
2024-01-01,2461.48
2024-01-08,2255.38
2024-01-15,2185.33
2024-01-22,2275.8
2024-01-29,2440.67
2024-02-05,2683.32
2024-02-12,2643.39
2024-02-19,2766.25
2024-02-26,2535.22
2024-03-04,2716.79
2024-03-11,2981.9
2024-03-18,3314.95
2024-03-25,3222.08
2024-04-01,3565.73
2024-04-08,3334.29
2024-04-15,3853.48
2024-04-22,3438.08
2024-04-29,3841.34
2024-05-06,4134.77
2024-05-13,3772.27
2024-05-20,4226.15
2024-05-27,3979.67
2024-06-03,4365.82
2024-06-10,4525.03
2024-06-17,4559.82
2024-06-24,4388.18
2024-07-01,3944.35
2024-07-08,4368.76
2024-07-15,4462.89
2024-07-22,3921.92
2024-07-29,4372.21
2024-08-05,3780.55
2024-08-12,4052.76
2024-08-19,4029.36
2024-08-26,3893.58
2024-09-02,3740.27
2024-09-09,4032.33
2024-09-16,3598.02
2024-09-23,3267.54
2024-09-30,3173.4
2024-10-07,3289.14
2024-10-14,3253.18
2024-10-21,3115.26
2024-10-28,3182.65
2024-11-04,2990.14
2024-11-11,2721.63
2024-11-18,2830.09
2024-11-25,4737.38
2024-12-02,4380.51
2024-12-09,4229.28
2024-12-16,4777.32
2024-12-23,4167.71
