date,revenue
2024-01-01,15298.47
2024-01-08,15005.44
2024-01-15,15608.07
2024-01-22,16306.39
2024-01-29,15465.63
2024-02-05,15717.38
2024-02-12,17092.58
2024-02-19,16925.37
2024-02-26,16538.04
2024-03-04,17570.6
2024-03-11,17593.29
2024-03-18,18578.37
2024-03-25,20131.53
2024-04-01,19435.12
2024-04-08,19404.65
2024-04-15,19816.66
2024-04-22,19577.28
2024-04-29,20653.4
2024-05-06,20268.98
2024-05-13,20306.51
2024-05-20,22345.87
2024-05-27,21610.84
2024-06-03,22030.6
2024-06-10,21340.28
2024-06-17,22032.73
2024-06-24,22547.79
2024-07-01,21869.29
2024-07-08,22820.45
2024-07-15,22226.65
2024-07-22,22361.85
2024-07-29,22085.12
2024-08-05,23428.41
2024-08-12,22144.21
2024-08-19,21320.58
2024-08-26,22222.98
2024-09-02,20746.69
2024-09-09,21334.26
2024-09-16,19747.67
2024-09-23,19830.89
2024-09-30,20445.22
2024-10-07,20469.76
2024-10-14,19835.15
2024-10-21,19382.93
2024-10-28,19024.15
2024-11-04,18149.53
2024-11-11,18618.32
2024-11-18,19124.68
2024-11-25,20832.51
2024-12-02,21519.04
2024-12-09,21230.1
2024-12-16,22771.16
2024-12-23,21754.13
2024-12-30,20443.23
2025-01-06,18562.99
2025-01-13,18933.41
2025-01-20,19034.82
2025-01-27,18174.71
2025-02-03,18733.81
2025-02-10,19395.46
2025-02-17,20092.75
2025-02-24,19563.54
2025-03-03,20136.8
2025-03-10,20133.49
2025-03-17,20959.3
2025-03-24,23311.76
2025-03-31,24449.2
2025-04-07,23622.12
2025-04-14,23950.85
2025-04-21,23495.84
2025-04-28,23121.78
2025-05-05,24067.3
2025-05-12,25119.13
2025-05-19,24496.0
2025-05-26,25745.84
2025-06-02,23489.57
2025-06-09,25770.92
2025-06-16,25506.07
2025-06-23,25408.54
2025-06-30,25734.06
2025-07-07,24534.02
2025-07-14,25599.01
2025-07-21,25906.83
2025-07-28,26499.97
2025-08-04,25183.88
2025-08-11,24854.88
2025-08-18,24850.7
2025-08-25,25483.03
2025-09-01,24887.34
2025-09-08,24107.21
2025-09-15,24451.4
2025-09-22,23908.41
2025-09-29,24131.55
2025-10-06,22828.07
2025-10-13,22755.96
2025-10-20,22432.0
2025-10-27,21529.33
2025-11-03,22386.71
2025-11-10,22312.99
2025-11-17,22397.57
2025-11-24,22922.45
2025-12-01,23271.4
2025-12-08,24943.12
2025-12-15,25517.46
2025-12-22,24888.59
2025-12-29,24236.09
2026-01-05,21553.54
2026-01-12,22555.49
2026-01-19,21683.78
2026-01-26,21930.03
2026-02-02,21966.51
2026-02-09,21132.27
2026-02-16,22573.75
2026-02-23,22964.36
2026-03-02,24792.26
2026-03-09,23715.75
2026-03-16,24837.01
2026-03-23,25770.56
2026-03-30,25993.65
2026-04-06,27514.21
